ID,NAME,ADDRESS,CITY,REGION,POSTALCODE,LAT,LON
ICL0004740,Secure Forex Private Limited,"Shop-No-10,6-1-57,Beside Rbi,Naseer Arcade,Saifabad,Lakdi Ka Pool",Hyderabad,Telangana,500004,17.40427,78.46699
ICL0004833,Fabrics Bombay Dyeing Showroom,"Shop No 2,Bhavana Tower,Cmr Complex,S D Road",Hyderabad,Telangana,500003,17.44138,78.49117
ICL0004854,College Book Centre,"No. 4-1-889/17, Fire Temple Complex, Tilak Road, Abids",Hyderabad,Telangana,500095,17.38602,78.48658
ICL0004935,Hyderabad College Of Aviation Technology,"1-2-25/11 Ground Floor,Atmaram Complex,Er Nagar,Kukatpally",Hyderabad,Telangana,500085,17.49918,78.38753
ICL0004963,Sri Balaji Electronics,"Plot No. 123P, Shop No. 4, Chandanagar, Railway Station Road, Gangaram, Chandanagar",Hyderabad,Telangana,500050,17.49246,78.32857
ICL0004967,Santosh Dhaba Exclusive,"2,Ds Lane,Mamulpet,Near Digamber Jain Temple,Abids",Hyderabad,Telangana,500001,17.38863,78.47946
ICL0004986,Lashya Beauty Care,"Street Number 8, Buddha Nagar Colony, Mallika Arjun Nagar, Boduppal",Hyderabad,Telangana,500098,17.40988,78.59628
ICL0005005,New Star & Style,"12-1-881/B,Near Noble Talkies,Asif Nagar",Hyderabad,Telangana,500028,17.38891,78.45332
ICL0005021,Andhrapradesh Aviation Academy,"Old Aiport Road,Old Bowenpally",Hyderabad,Telangana,500011,17.45904,78.4574
ICL0005054,Seasons Flower Shop,"6-3-1219/A,Sai Baba Estates,Shop No 4,Umanagar,Begumpet",Hyderabad,Telangana,500016,17.43666,78.45843
ICL0005058,Nehaa Jyotish Kendra,"3 3 869, Kutbiguda, Kachiguda,",Hyderabad,Telangana,500027,17.38686,78.49025
ICL0005073,Bluechip Corporate Investment Centre Limited,"19/97/G4,Rajnigandha Apartments,Below Mahesh Bank,Chaitanyapuri Cross Road,Dilsukh Nagar",Hyderabad,Telangana,500060,17.36784,78.53259
ICL0005099,Vijaya Sree Hospital,"Sbi Building,Rajlaxmi Complex,Chandanagar Bus Stop,Miyapur",Hyderabad,Telangana,500050,17.49581,78.3246
ICL0005143,New Royalty Readymade Garment,Shop No.18-12-418/D/32/5,Hyderabad,Telangana,500058,17.33045,78.49072
ICL0005163,Narayana Junior College,"Migh-39,Venkateshwara Temple Line,Santosh Nagar,Opposite Yadagiri Theatre,Sai Ratna Arcade,New Santoshnagar",Hyderabad,Telangana,500059,17.34669,78.50772
ICL0005195,Divyasai Tools Private Limited,"2-189,Akshay Enclave,Shobana Colony,Balanagar",Hyderabad,Telangana,500042,17.46078,78.45454
ICL0005202,Vishnu Refrigerations,"Near Nacanda High School,East Chandragiri Colony,Krupa Complex,Safilguda",Hyderabad,Telangana,500056,17.46532,78.53847
ICL0005215,Total Dental Clinic,"Wellington Road, Janakapuri, Hyderabad Asbestos Staff Colony, Near By Vikrampuri Bus Stop,Karkhana",Hyderabad,Telangana,500009,17.4572,78.49929
ICL0005224,Swan Agencies,"5-1-384,Behind Mch Car Parking,Ranigunj",Hyderabad,Telangana,500003,17.43358,78.48966
ICL0005271,Sree Enterprises,"D No 7 34, Chaitanyapuri, Dilsukhnagar",Hyderabad,Telangana,500013,17.38524,78.54218
ICL0005302,K Arts,"3 13-70/3,Beside Hp Petrol Pump,Yadavnagar,Malkajgiri",Hyderabad,Telangana,500047,17.44799,78.53603
ICL0005360,Sri Bhavani Automobiles,"Shop No 3,35 - 481,Eastmarredpally Road,East Marredpally,Nr Kasturba Gandhi Degree & Pg College For Women",Hyderabad,Telangana,500095,17.39095,78.48576
ICL0005376,Sagar Hair Style,"Shubham Jewel, Friends Colony, Puppal Guda, Puppalguda",Hyderabad,Telangana,500089,17.39979,78.39118
ICL0005383,Amore Gourmet Italian Food,"Eat,St Cafe D E Lake Neckless Road,Secretariat Road",Hyderabad,Telangana,500022,17.40958,78.47148
ICL0005386,Sri Akhsitha Textiles,"Near Kmn Motor Driving School,Usha Mullapudi Cardio Hospital Road,1St Phase Allwyn Colony,Yellamma Banda,Near Usha Mullapudi Cardio Hospital Road,Kphb Colony",Hyderabad,Telangana,500072,17.50623,78.40755
ICL0005445,Tours & Travels,"Opp. Ntr Market, Doctors Colony, Saroornagar",Hyderabad,Telangana,500035,17.35515,78.54504
ICL0005488,Surya Diesels,"Shopno 2,Rampally X Road,Nagaram,Kushaiguda",Hyderabad,Telangana,500083,17.49255,78.60371
ICL0005491,Hudha Fancy Emporium,"6-3-596/12, Venkata Ramana Coloy, Beside Jaganath Medical Shop, Opposite Top Inn Hotel, Khairatabad",Hyderabad,Telangana,500004,17.41553,78.45389
ICL0005523,3 3 Conect,"No 1 11 224/1/1 Mch No 278 First Floor, Street No 4, Begumpet,",Hyderabad,Telangana,500016,17.44668,78.4638
ICL0005539,Dr Tilak Reddy,"1-9-320/1, 1St Floor, Ramnagar Gundu, Vidya Nagar, Beside Kattamaisamma Temple, Number 2 Street",Hyderabad,Telangana,500044,17.40261,78.50733
ICL0005560,Vishal Caterers,"H No 8-4-287, Anand Nagar Jk Point Hotel Indragandhi Statue, Erragadda",Hyderabad,Telangana,500018,17.45689,78.43083
ICL0005566,Rose Cafe,"1-33-261,New Bowenpally,Near Comsery Bazaar,Bowenpally",Hyderabad,Telangana,500011,17.46539,78.47338
ICL0005606,Sam Tattos,"Shop No.4,1St Floor,Gurukrupa Plaza,Indianagar,Gachibowli",Hyderabad,Telangana,500032,17.44945,78.35697
ICL0005716,Samrat Banquet Hall,"Balanagar Main Road,Gautam Nagar,Bowenpally,Opp. Sri Shiva Panchayatana Kalabhairava Swamy Devalayam",Hyderabad,Telangana,500042,17.46459,78.45696
ICL0005727,Sri Ganesha Bikes Clinic,"Opp Spencers, Tarnaka, Secunderabad",Hyderabad,Telangana,500065,17.34928,78.47113
ICL0005802,Sprint Marketing Associates,"3-12-13/G,Ganesh Nagar,Near Swathi Restaurant,Ramanthapur",Hyderabad,Telangana,500013,17.39214,78.54111
ICL0005805,Indo Star Vehicle Finance,"Narayana Jr College Building,Vanasthalipuram Main Rd,Golden Tobaco Colony,Chintalakunta",Hyderabad,Telangana,500070,17.33715,78.56966
ICL0005921,Jeans Stitcher Men's Wear,"H No 17-3-186/28/A,Isiamia College Road,Beside Morning Star Hotel,Imambada,Yakutpura",Hyderabad,Telangana,500023,17.35549,78.49362
ICL0005941,Silver Point Cafe,"3-3-50/1/A,Kachiguda Station Road,Sai Nanditha Enclave,Kutbi Guda,Near Venkataramana Cinema Hall Megaplex,Kachiguda",Hyderabad,Telangana,500027,17.39037,78.49236
ICL0005944,Sr Projects,"Flat No 702 B Block, Fortune Towers, Madhapur,",Hyderabad,Telangana,500081,17.44868,78.39419
ICL0006029,Narendra Singh,"1 - 2 - 234/13/16, Domalguda, Opposite Nalla Pochamma Temple",Hyderabad,Telangana,500029,17.40875,78.48319
ICL0006044,Sri Sai Uma,"Plot No D-11/A/3,Shop No 5,Phase Iv Exten,Jeedimetla,Near Sigma Hospital,Ida",Hyderabad,Telangana,500055,17.52148,78.44273
ICL0006061,Sai Ram Wood Works,"Shop No 17 - 1 - 382/R/14, Sagar Road, Champapet, Nr Green Park Colony Bus Stop",Hyderabad,Telangana,500079,17.34266,78.51763
ICL0006074,Pista House,"2-48,Plot No - 424,Opposite Care Hospital,Gachibowli Main Road,Gachibowli",Hyderabad,Telangana,500032,17.43542,78.36793
ICL0006086,Hyderabad Retail Stores,"Unit No 3-6-138/38/10/11/12,Papal Chambers,Himayat Nagar",Hyderabad,Telangana,500029,17.39876,78.48621
ICL0006111,Battery Charging House,"Vadya Nagar Malkajiri,Raghavendra Theatre Road,Near Bata Shwrooms,Maruthi Nagar",Hyderabad,Telangana,500047,17.45219,78.53386
ICL0006120,Jai Raj Construction,"P No 1 2 3 4 Shop No 8, Gandimaisamma X Road, Qutubullapur Mandal, Rangareddy",Hyderabad,Telangana,500043,17.63458,78.40896
ICL0006149,Dinesh Kirana & General Stores,"Nacharam - Mallapur Road,Vivekananda Nagar,Mallapur,Secunderabad,Near Mahalaxmi Jewellers",Hyderabad,Telangana,500076,17.44368,78.56675
ICL0006151,Sangeetha Mobiles Private Limited,"Shop No 17-1-6/A,S V Towers,Santosh Nagar",Hyderabad,Telangana,500059,17.34885,78.50836
ICL0006186,Tmc,"Sri Raghavendra Chambers,Lig B 2,Opp Axis,Dr A S Rao Nagar",Hyderabad,Telangana,500062,17.4786,78.55926
